x,y,Ma,rho/rho1,p/p1,T/T1
8.660249,22.000000,2.000000,1.000000,1.000000,1.000000
8.660249,23.000000,2.000000,1.000000,1.000000,1.000000
8.660249,24.000000,2.000000,1.000000,1.000000,1.000000
8.660249,25.000000,2.000000,1.000000,1.000000,1.000000
8.660249,26.000000,2.000000,1.000000,1.000000,1.000000
8.660249,27.000000,2.000000,1.000000,1.000000,1.000000
8.660249,28.000000,2.000000,1.000000,1.000000,1.000000
8.660249,29.000000,2.000000,1.000000,1.000000,1.000000
8.660249,30.000000,2.000000,1.000000,1.000000,1.000000
8.660249,31.000000,2.000000,1.000000,1.000000,1.000000
8.660249,32.000000,2.000000,1.000000,1.000000,1.000000
8.660249,33.000000,2.000000,1.000000,1.000000,1.000000
8.660249,34.000000,2.000000,1.000000,1.000000,1.000000
8.660249,35.000000,2.000000,1.000000,1.000000,1.000000
8.660249,36.000000,2.000000,1.000000,1.000000,1.000000
8.660249,37.000000,2.000000,1.000000,1.000000,1.000000
8.660249,38.000000,2.000000,1.000000,1.000000,1.000000
8.660249,39.000000,2.000000,1.000000,1.000000,1.000000
8.660249,40.000000,2.000000,1.000000,1.000000,1.000000
9.526274,0.000000,1.999999,1.000001,1.000001,1.000000
9.526274,1.000000,2.000000,1.000000,1.000000,1.000000
9.526274,2.000000,1.999999,1.000001,1.000001,1.000000
9.526274,3.000000,2.000000,1.000001,1.000001,1.000000
9.526274,4.000000,2.000000,1.000000,1.000001,1.000000
9.526274,5.000000,2.000000,1.000000,1.000000,1.000000
9.526274,6.000000,2.000000,1.000000,1.000000,1.000000
9.526274,7.000000,2.000000,1.000000,1.000000,1.000000
9.526274,8.000000,2.000000,1.000000,1.000000,1.000000
9.526274,9.000000,2.000000,1.000000,1.000000,1.000000
